Competition Title,Competition Date,FIRST,LAST,Nation,StartNr,Rank,Qualification,Qualification 1,Qualification 2,Semifinal,Final,Points,Category
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Maria,FISEYSKAYA,RUS,24.0,33,,"28+24.,28+24.,28+24.,28+24.,28+24.,28+24.,28+24.,28+24.","25 39.,25 39.,25 39.,25 39.,25 39.,25 39.,25 39.,25 39.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ellisa,ANDRES,AUS,1.0,34,,"27+30.,27+30.,27+30.,27+30.,27+30.,27+30.,27+30.,27+30.","26+29.,26+29.,26+29.,26+29.,26+29.,26+29.,26+29.,26+29.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Lana,BAKIĆ,CRO,2.0,34,,"27+30.,27+30.,27+30.,27+30.,27+30.,27+30.,27+30.,27+30.","26+29.,26+29.,26+29.,26+29.,26+29.,26+29.,26+29.,26+29.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ariane,FRANKEN,GER,26.0,34,,"27+30.,27+30.,27+30.,27+30.,27+30.,27+30.,27+30.,27+30.","26+29.,26+29.,26+29.,26+29.,26+29.,26+29.,26+29.,26+29.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Edel,LEMVIK,NOR,37.0,34,,"27+30.,27+30.,27+30.,27+30.,27+30.,27+30.,27+30.,27+30.","26+29.,26+29.,26+29.,26+29.,26+29.,26+29.,26+29.,26+29.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Anisha,VARMA,IND,79.0,38,,"27+30.,27+30.,27+30.,27+30.,27+30.,27+30.,27+30.,27+30.","25+36.,25+36.,25+36.,25+36.,25+36.,25+36.,25+36.,25+36.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Lara,KMOCH,CRO,33.0,39,,"27+30.,27+30.,27+30.,27+30.,27+30.,27+30.,27+30.,27+30.","25 39.,25 39.,25 39.,25 39.,25 39.,25 39.,25 39.,25 39.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,SYDNEY,PARK,CAN,57.0,40,,"27+30.,27+30.,27+30.,27+30.,27+30.,27+30.,27+30.,27+30.","23+42.,23+42.,23+42.,23+42.,23+42.,23+42.,23+42.,23+42.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Louise,FLOCKHART,GBR,25.0,41,,"27+30.,27+30.,27+30.,27+30.,27+30.,27+30.,27+30.,27+30.","20+43.,20+43.,20+43.,20+43.,20+43.,20+43.,20+43.,20+43.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Haizea,OSES SÁIZ,ESP,53.0,41,,"27+30.,27+30.,27+30.,27+30.,27+30.,27+30.,27+30.,27+30.","20+43.,20+43.,20+43.,20+43.,20+43.,20+43.,20+43.,20+43.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Dayana,CORREA,ECU,13.0,43,,"26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.","26 35.,26 35.,26 35.,26 35.,26 35.,26 35.,26 35.,26 35.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Hana,ŠIKULOVÁ,CZE,70.0,44,,"26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.","25+36.,25+36.,25+36.,25+36.,25+36.,25+36.,25+36.,25+36.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sofia,DURKOVA,SVK,20.0,45,,"27+30.,27+30.,27+30.,27+30.,27+30.,27+30.,27+30.,27+30.","13.5+59.,13.5+59.,13.5+59.,13.5+59.,13.5+59.,13.5+59.,13.5+59.,13.5+59.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Nattcha,RAVIWONGSE,THA,61.0,46,,"26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.","20 45.,20 45.,20 45.,20 45.,20 45.,20 45.,20 45.,20 45.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Dasom,YUN,KOR,84.0,47,,"27 43.,27 43.,27 43.,27 43.,27 43.,27 43.,27 43.,27 43.","17+52.,17+52.,17+52.,17+52.,17+52.,17+52.,17+52.,17+52.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Zuzanna,MIENTUS,POL,43.0,48,,"26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.","19+47.,19+47.,19+47.,19+47.,19+47.,19+47.,19+47.,19+47.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Kateryna,PEDKO,UKR,58.0,48,,"26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.","19+47.,19+47.,19+47.,19+47.,19+47.,19+47.,19+47.,19+47.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sunniva,ØVRE-EIDE,NOR,85.0,50,,"26 56.,26 56.,26 56.,26 56.,26 56.,26 56.,26 56.,26 56.","20 45.,20 45.,20 45.,20 45.,20 45.,20 45.,20 45.,20 45.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Martina,DUSANKOVA,CZE,21.0,51,,"26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.","17 54.,17 54.,17 54.,17 54.,17 54.,17 54.,17 54.,17 54.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Elise,MANNERSTRÅLE,SWE,22.0,51,,"26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.","17 54.,17 54.,17 54.,17 54.,17 54.,17 54.,17 54.,17 54.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Bar,SNIR,ISR,73.0,53,,"26 56.,26 56.,26 56.,26 56.,26 56.,26 56.,26 56.,26 56.","19 49.,19 49.,19 49.,19 49.,19 49.,19 49.,19 49.,19 49.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Beatriz,ROSAS,CHI,63.0,54,,"26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.","14+58.,14+58.,14+58.,14+58.,14+58.,14+58.,14+58.,14+58.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,In En,SIM,RUS,71.0,55,,"26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.","13.5+59.,13.5+59.,13.5+59.,13.5+59.,13.5+59.,13.5+59.,13.5+59.,13.5+59.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sophiane,BERTRAND,CAN,5.0,56,,"26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.","13+64.,13+64.,13+64.,13+64.,13+64.,13+64.,13+64.,13+64.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Matilda,COLLINS,GBR,10.0,56,,"26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.","13+64.,13+64.,13+64.,13+64.,13+64.,13+64.,13+64.,13+64.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Niki,SAKKA,GRE,65.0,58,,"21+62.,21+62.,21+62.,21+62.,21+62.,21+62.,21+62.,21+62.","17 54.,17 54.,17 54.,17 54.,17 54.,17 54.,17 54.,17 54.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Napat,DISYABUT,THA,17.0,59,,"14 68.,14 68.,14 68.,14 68.,14 68.,14 68.,14 68.,14 68.","18 51.,18 51.,18 51.,18 51.,18 51.,18 51.,18 51.,18 51.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Zorka,SOMORJAI,HUN,75.0,60,,"13+72.,13+72.,13+72.,13+72.,13+72.,13+72.,13+72.,13+72.","19 49.,19 49.,19 49.,19 49.,19 49.,19 49.,19 49.,19 49.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Rauen,KROHN,RSA,36.0,61,,"26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.,26+44.","13 74.,13 74.,13 74.,13 74.,13 74.,13 74.,13 74.,13 74.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Anine,HJORTH ALSTRUP,DEN,30.0,62,,"14+67.,14+67.,14+67.,14+67.,14+67.,14+67.,14+67.,14+67.","15 57.,15 57.,15 57.,15 57.,15 57.,15 57.,15 57.,15 57.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Daria,NAWÓJ,POL,47.0,63,,"25+59.,25+59.,25+59.,25+59.,25+59.,25+59.,25+59.,25+59.","13+64.,13+64.,13+64.,13+64.,13+64.,13+64.,13+64.,13+64.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Dorota,BULANDOVA,SVK,7.0,64,,"23 60.,23 60.,23 60.,23 60.,23 60.,23 60.,23 60.,23 60.","13+64.,13+64.,13+64.,13+64.,13+64.,13+64.,13+64.,13+64.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Daniela,PARADELA GUERRERO,MEX,56.0,65,,"7+78.,7+78.,7+78.,7+78.,7+78.,7+78.,7+78.,7+78.","17+52.,17+52.,17+52.,17+52.,17+52.,17+52.,17+52.,17+52.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ksenija,DOBRZINSKA,LAT,19.0,66,,"22+61.,22+61.,22+61.,22+61.,22+61.,22+61.,22+61.,22+61.","13+64.,13+64.,13+64.,13+64.,13+64.,13+64.,13+64.,13+64.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Abby,GEBERT,NZL,27.0,67,,"14 68.,14 68.,14 68.,14 68.,14 68.,14 68.,14 68.,14 68.","13.5+59.,13.5+59.,13.5+59.,13.5+59.,13.5+59.,13.5+59.,13.5+59.,13.5+59.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Maria,NEDELCHEVA,BUL,48.0,68,,"21 63.,21 63.,21 63.,21 63.,21 63.,21 63.,21 63.,21 63.","13+64.,13+64.,13+64.,13+64.,13+64.,13+64.,13+64.,13+64.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Yoanna,NEDYALKOVA,BUL,49.0,69,,"20+64.,20+64.,20+64.,20+64.,20+64.,20+64.,20+64.,20+64.","13+64.,13+64.,13+64.,13+64.,13+64.,13+64.,13+64.,13+64.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Zoi,PALTATSIDOU,GRE,54.0,69,,"20+64.,20+64.,20+64.,20+64.,20+64.,20+64.,20+64.,20+64.","13+64.,13+64.,13+64.,13+64.,13+64.,13+64.,13+64.,13+64.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Jasmin Justesen,RØNNOW,DEN,64.0,71,,"15 66.,15 66.,15 66.,15 66.,15 66.,15 66.,15 66.,15 66.","13 74.,13 74.,13 74.,13 74.,13 74.,13 74.,13 74.,13 74.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Roberta,PORTALES TAMAYO,MEX,60.0,72,,"7 81.,7 81.,7 81.,7 81.,7 81.,7 81.,7 81.,7 81.","13.5+59.,13.5+59.,13.5+59.,13.5+59.,13.5+59.,13.5+59.,13.5+59.,13.5+59.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Valeria,MARTÍNEZ CUEVAS,MEX,42.0,73,,"7 81.,7 81.,7 81.,7 81.,7 81.,7 81.,7 81.,7 81.","13.5 63.,13.5 63.,13.5 63.,13.5 63.,13.5 63.,13.5 63.,13.5 63.,13.5 63.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Camila,GONZALEZ,CHI,29.0,74,,"14 68.,14 68.,14 68.,14 68.,14 68.,14 68.,14 68.,14 68.","12+77.,12+77.,12+77.,12+77.,12+77.,12+77.,12+77.,12+77.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sohha Ninad,DIWAN,IND,18.0,75,,"7+78.,7+78.,7+78.,7+78.,7+78.,7+78.,7+78.,7+78.","13+64.,13+64.,13+64.,13+64.,13+64.,13+64.,13+64.,13+64.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Mia,WEEDA,AUS,81.0,76,,"13+72.,13+72.,13+72.,13+72.,13+72.,13+72.,13+72.,13+72.","13 74.,13 74.,13 74.,13 74.,13 74.,13 74.,13 74.,13 74.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Nalat,DISYABUT,THA,16.0,77,,"14 68.,14 68.,14 68.,14 68.,14 68.,14 68.,14 68.,14 68.","10 80.,10 80.,10 80.,10 80.,10 80.,10 80.,10 80.,10 80.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Saniya,SHEIKH,IND,69.0,78,,"6 84.,6 84.,6 84.,6 84.,6 84.,6 84.,6 84.,6 84.","13+64.,13+64.,13+64.,13+64.,13+64.,13+64.,13+64.,13+64.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Anastasiia,SKIDAN,UKR,72.0,79,,"12 74.,12 74.,12 74.,12 74.,12 74.,12 74.,12 74.,12 74.","10 80.,10 80.,10 80.,10 80.,10 80.,10 80.,10 80.,10 80.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Annika,LORENTZEN,DEN,40.0,80,,"10 77.,10 77.,10 77.,10 77.,10 77.,10 77.,10 77.,10 77.","12+77.,12+77.,12+77.,12+77.,12+77.,12+77.,12+77.,12+77.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Joy,WILLIAMS,NZL,83.0,81,,"10+76.,10+76.,10+76.,10+76.,10+76.,10+76.,10+76.,10+76.","11+79.,11+79.,11+79.,11+79.,11+79.,11+79.,11+79.,11+79.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Caitlyn,BURWOOD,RSA,8.0,82,,"11+75.,11+75.,11+75.,11+75.,11+75.,11+75.,11+75.,11+75.","9+82.,9+82.,9+82.,9+82.,9+82.,9+82.,9+82.,9+82.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Tafui,SHANGASE,RSA,68.0,83,,"7+78.,7+78.,7+78.,7+78.,7+78.,7+78.,7+78.,7+78.","6+84.,6+84.,6+84.,6+84.,6+84.,6+84.,6+84.,6+84.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Olga,EXAKOIDI,GRE,23.0,84,,"7 81.,7 81.,7 81.,7 81.,7 81.,7 81.,7 81.,7 81.","9+82.,9+82.,9+82.,9+82.,9+82.,9+82.,9+82.,9+82.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Alia,ROBINSON,NZL,62.0,85,,"6 84.,6 84.,6 84.,6 84.,6 84.,6 84.,6 84.,6 84.","3+85.,3+85.,3+85.,3+85.,3+85.,3+85.,3+85.,3+85.",,,,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Laura,ROGORA,ITA,279.0,1,,"Top1.,Top1.,Top1.,Top1.,Top1.,Top1.,Top1.,Top1.","46+1.,46+1.,46+1.,46+1.,46+1.,46+1.,46+1.,46+1.",45,55+,1.0,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Nolwenn,ARC,FRA,238.0,2,,"42+6.,42+6.,42+6.,42+6.,42+6.,42+6.,42+6.,42+6.","43+3.,43+3.,43+3.,43+3.,43+3.,43+3.,43+3.,43+3.",37+,55+,4.9,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Brooke,RABOUTOU,USA,277.0,3,,"44+2.,44+2.,44+2.,44+2.,44+2.,44+2.,44+2.,44+2.","43+3.,43+3.,43+3.,43+3.,43+3.,43+3.,43+3.,43+3.",30+,54+,2.83,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Eliska,ADAMOVSKA,CZE,237.0,4,,"44 3.,44 3.,44 3.,44 3.,44 3.,44 3.,44 3.,44 3.","42 6.,42 6.,42 6.,42 6.,42 6.,42 6.,42 6.,42 6.",25+,43+,4.24,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Lucia,DÖRFFEL,GER,250.0,5,,"39 9.,39 9.,39 9.,39 9.,39 9.,39 9.,39 9.,39 9.","43+3.,43+3.,43+3.,43+3.,43+3.,43+3.,43+3.,43+3.",25+,40+,6.32,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Natalia,GROSSMAN,USA,255.0,6,,"34+17.,34+17.,34+17.,34+17.,34+17.,34+17.,34+17.,34+17.","37+10.,37+10.,37+10.,37+10.,37+10.,37+10.,37+10.,37+10.",24+,40+,13.87,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Yuka,HIGUCHI,JPN,261.0,7,,"38 12.,38 12.,38 12.,38 12.,38 12.,38 12.,38 12.,38 12.","37+10.,37+10.,37+10.,37+10.,37+10.,37+10.,37+10.,37+10.",25,31+,12.19,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Mattea,PÖTZI,AUT,276.0,8,,"31+21.,31+21.,31+21.,31+21.,31+21.,31+21.,31+21.,31+21.","37+10.,37+10.,37+10.,37+10.,37+10.,37+10.,37+10.,37+10.",22+,24+,15.2,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Eva Maria,HAMMELMÜLLER,AUT,257.0,9,,"43+4.,43+4.,43+4.,43+4.,43+4.,43+4.,43+4.,43+4.","39+7.,39+7.,39+7.,39+7.,39+7.,39+7.,39+7.,39+7.",21+,,5.81,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Hannah,HERMANN,SUI,259.0,10,,"26+25.,26+25.,26+25.,26+25.,26+25.,26+25.,26+25.,26+25.","32+16.,32+16.,32+16.,32+16.,32+16.,32+16.,32+16.,32+16.",21,,22.14,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Noa,SHIRAN,ISR,281.0,11,,"38 12.,38 12.,38 12.,38 12.,38 12.,38 12.,38 12.,38 12.","39+7.,39+7.,39+7.,39+7.,39+7.,39+7.,39+7.,39+7.",20+,,10.06,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Mao,NAKAMURA,JPN,272.0,12,,"39 9.,39 9.,39 9.,39 9.,39 9.,39 9.,39 9.,39 9.","33+13.,33+13.,33+13.,33+13.,33+13.,33+13.,33+13.,33+13.",20,,11.4,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Léa,DELACQUIS,FRA,249.0,13,,"40 7.,40 7.,40 7.,40 7.,40 7.,40 7.,40 7.,40 7.","32+16.,32+16.,32+16.,32+16.,32+16.,32+16.,32+16.,32+16.",19+,,11.78,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Alejandra,CONTRERAS,CHI,248.0,14,,"37+16.,37+16.,37+16.,37+16.,37+16.,37+16.,37+16.,37+16.","21+30.,21+30.,21+30.,21+30.,21+30.,21+30.,21+30.,21+30.",19+,,22.63,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Nina,ARTHAUD,FRA,239.0,15,,"43+4.,43+4.,43+4.,43+4.,43+4.,43+4.,43+4.,43+4.","45+2.,45+2.,45+2.,45+2.,45+2.,45+2.,45+2.,45+2.",19,,3.0,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Daria,VERETENINA,RUS,283.0,16,,"39 9.,39 9.,39 9.,39 9.,39 9.,39 9.,39 9.,39 9.","38+9.,38+9.,38+9.,38+9.,38+9.,38+9.,38+9.,38+9.",19,,9.49,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Thea,CAMERON,GBR,243.0,17,,"26+25.,26+25.,26+25.,26+25.,26+25.,26+25.,26+25.,26+25.","32+16.,32+16.,32+16.,32+16.,32+16.,32+16.,32+16.,32+16.",19,,22.14,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ayala,KEREM,ISR,263.0,18,,"26+25.,26+25.,26+25.,26+25.,26+25.,26+25.,26+25.,26+25.","30 23.,30 23.,30 23.,30 23.,30 23.,30 23.,30 23.,30 23.",19,,24.69,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sara,MORANDINI,ITA,271.0,19,,"33 19.,33 19.,33 19.,33 19.,33 19.,33 19.,33 19.,33 19.","33 14.,33 14.,33 14.,33 14.,33 14.,33 14.,33 14.,33 14.",17+,,16.82,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Zoe,PEETERMANS,GBR,275.0,20,,"30 22.,30 22.,30 22.,30 22.,30 22.,30 22.,30 22.,30 22.","23+25.,23+25.,23+25.,23+25.,23+25.,23+25.,23+25.,23+25.",17+,,23.45,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Naama,YOHAI,ISR,287.0,21,,"34+17.,34+17.,34+17.,34+17.,34+17.,34+17.,34+17.,34+17.","21+30.,21+30.,21+30.,21+30.,21+30.,21+30.,21+30.,21+30.",17+,,23.66,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Eliska,NOVOTNA,CZE,274.0,22,,"25+29.,25+29.,25+29.,25+29.,25+29.,25+29.,25+29.,25+29.","32+16.,32+16.,32+16.,32+16.,32+16.,32+16.,32+16.,32+16.",17+,,23.75,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Celina,SCHOIBL,AUT,280.0,23,,"38 12.,38 12.,38 12.,38 12.,38 12.,38 12.,38 12.,38 12.","32+16.,32+16.,32+16.,32+16.,32+16.,32+16.,32+16.,32+16.",16,,15.8,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Jenny,JIANG,USA,262.0,24,,"40 7.,40 7.,40 7.,40 7.,40 7.,40 7.,40 7.,40 7.","32+16.,32+16.,32+16.,32+16.,32+16.,32+16.,32+16.,32+16.",11.5,,11.78,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Mimu,KUROOKA,JPN,267.0,25,,"29+23.,29+23.,29+23.,29+23.,29+23.,29+23.,29+23.,29+23.","33 14.,33 14.,33 14.,33 14.,33 14.,33 14.,33 14.,33 14.",11+,,18.26,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Jana,MESSNER,ITA,270.0,26,,"38 12.,38 12.,38 12.,38 12.,38 12.,38 12.,38 12.,38 12.","21+30.,21+30.,21+30.,21+30.,21+30.,21+30.,21+30.,21+30.",9+,,20.78,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Rut,CASAS MUR,ESP,244.0,27,,"26+25.,26+25.,26+25.,26+25.,26+25.,26+25.,26+25.,26+25.","24 24.,24 24.,24 24.,24 24.,24 24.,24 24.,24 24.,24 24.",,,25.22,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sophie,BUITENDYK,CAN,241.0,28,,"25+29.,25+29.,25+29.,25+29.,25+29.,25+29.,25+29.,25+29.","30+22.,30+22.,30+22.,30+22.,30+22.,30+22.,30+22.,30+22.",,,25.9,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Lauren,BAIR,USA,240.0,29,,"28 24.,28 24.,28 24.,28 24.,28 24.,28 24.,28 24.,28 24.","22+28.,22+28.,22+28.,22+28.,22+28.,22+28.,22+28.,22+28.",,,26.15,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Anastasiia,EVGENEVA,RUS,252.0,30,,"33 19.,33 19.,33 19.,33 19.,33 19.,33 19.,33 19.,33 19.","21 35.,21 35.,21 35.,21 35.,21 35.,21 35.,21 35.,21 35.",,,26.31,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Mia Stöver,WOLLEBAEK,NOR,284.0,31,,"25+29.,25+29.,25+29.,25+29.,25+29.,25+29.,25+29.,25+29.","23 26.,23 26.,23 26.,23 26.,23 26.,23 26.,23 26.,23 26.",,,28.43,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Tetiana,ZAIETS,UKR,288.0,32,,"23+33.,23+33.,23+33.,23+33.,23+33.,23+33.,23+33.,23+33.","23 26.,23 26.,23 26.,23 26.,23 26.,23 26.,23 26.,23 26.",,,29.57,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Varvara,BUT,RUS,242.0,33,,"25+29.,25+29.,25+29.,25+29.,25+29.,25+29.,25+29.,25+29.","21+30.,21+30.,21+30.,21+30.,21+30.,21+30.,21+30.,21+30.",,,31.24,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Yelyzaveta,LAVRYKOVA,UKR,268.0,34,,"19+34.,19+34.,19+34.,19+34.,19+34.,19+34.,19+34.,19+34.","22+28.,22+28.,22+28.,22+28.,22+28.,22+28.,22+28.,22+28.",,,31.81,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Yinki,YING,CAN,286.0,35,,"19+34.,19+34.,19+34.,19+34.,19+34.,19+34.,19+34.,19+34.","21+30.,21+30.,21+30.,21+30.,21+30.,21+30.,21+30.,21+30.",,,33.7,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Hyejun,KIM,KOR,264.0,36,,"19+34.,19+34.,19+34.,19+34.,19+34.,19+34.,19+34.,19+34.","21 35.,21 35.,21 35.,21 35.,21 35.,21 35.,21 35.,21 35.",,,35.5,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Freja,DUNCAN,SWE,251.0,37,,"19+34.,19+34.,19+34.,19+34.,19+34.,19+34.,19+34.,19+34.","20+37.,20+37.,20+37.,20+37.,20+37.,20+37.,20+37.,20+37.",,,36.24,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Tseng-shun,WONG,HKG,285.0,38,,"13.5+40.,13.5+40.,13.5+40.,13.5+40.,13.5+40.,13.5+40.,13.5+40.,13.5+40.","20 38.,20 38.,20 38.,20 38.,20 38.,20 38.,20 38.,20 38.",,,39.47,lead
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Dagyeong,HAN,KOR,258.0,39,,"14 39.,14 39.,14 39.,14 39.,14 39.,14 39.,14 39.,14 39.","16+40.,16+40.,16+40.,16+40.,16+40.,16+40.,16+40.,16+40.",,,39.74,lead
